"cost_scheme","replicate","pvalue","time_inconsistency","signif","ratio","event","number_events"
"d1_t1_l1",33,0.177822,13,FALSE,3.75,"duplication",1
"d1_t1_l1",33,0.177822,13,FALSE,3.75,"loss",1
"d1_t1_l1",34,0.132867,12,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",34,0.132867,12,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",34,0.132867,12,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",34,0.132867,12,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",35,0.032967,12,TRUE,2.8,"cospeciation",5
"d1_t1_l1",35,0.032967,12,TRUE,2.8,"transfer",14
"d1_t1_l1",35,0.032967,12,TRUE,2.8,"duplication",1
"d1_t1_l1",35,0.032967,12,TRUE,2.8,"loss",1
"d1_t1_l1",36,0.105894,12,FALSE,4,"cospeciation",4
"d1_t1_l1",36,0.105894,12,FALSE,4,"transfer",16
"d1_t1_l1",36,0.105894,12,FALSE,4,"duplication",0
"d1_t1_l1",36,0.105894,12,FALSE,4,"loss",1
"d1_t1_l1",37,0.136863,13,FALSE,5,"cospeciation",3
"d1_t1_l1",37,0.136863,13,FALSE,5,"transfer",15
"d1_t1_l1",37,0.136863,13,FALSE,5,"duplication",2
"d1_t1_l1",37,0.136863,13,FALSE,5,"loss",0
"d1_t1_l1",38,0.021978,11,TRUE,2.8,"cospeciation",5
"d1_t1_l1",38,0.021978,11,TRUE,2.8,"transfer",14
"d1_t1_l1",38,0.021978,11,TRUE,2.8,"duplication",1
"d1_t1_l1",38,0.021978,11,TRUE,2.8,"loss",1
"d1_t1_l1",39,0.092907,13,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",39,0.092907,13,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",39,0.092907,13,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",39,0.092907,13,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",40,0.118881,12,FALSE,3.75,"cospeciation",4
"d1_t1_l1",40,0.118881,12,FALSE,3.75,"transfer",15
"d1_t1_l1",40,0.118881,12,FALSE,3.75,"duplication",1
"d1_t1_l1",40,0.118881,12,FALSE,3.75,"loss",1
"d1_t1_l1",41,0.23976,15,FALSE,9,"cospeciation",2
"d1_t1_l1",41,0.23976,15,FALSE,9,"transfer",18
"d1_t1_l1",41,0.23976,15,FALSE,9,"duplication",0
"d1_t1_l1",41,0.23976,15,FALSE,9,"loss",0
"d1_t1_l1",42,0.184815,7,FALSE,3.75,"cospeciation",4
"d1_t1_l1",42,0.184815,7,FALSE,3.75,"transfer",15
"d1_t1_l1",42,0.184815,7,FALSE,3.75,"duplication",1
"d1_t1_l1",42,0.184815,7,FALSE,3.75,"loss",0
"d1_t1_l1",43,0.03996,13,TRUE,3.5,"cospeciation",4
"d1_t1_l1",43,0.03996,13,TRUE,3.5,"transfer",14
"d1_t1_l1",43,0.03996,13,TRUE,3.5,"duplication",2
"d1_t1_l1",43,0.03996,13,TRUE,3.5,"loss",0
"d1_t1_l1",44,0.275724,16,FALSE,8.5,"cospeciation",2
"d1_t1_l1",44,0.275724,16,FALSE,8.5,"transfer",17
"d1_t1_l1",44,0.275724,16,FALSE,8.5,"duplication",1
"d1_t1_l1",44,0.275724,16,FALSE,8.5,"loss",0
"d1_t1_l1",45,0.094905,13,FALSE,4,"cospeciation",4
"d1_t1_l1",45,0.094905,13,FALSE,4,"transfer",16
"d1_t1_l1",45,0.094905,13,FALSE,4,"duplication",0
"d1_t1_l1",45,0.094905,13,FALSE,4,"loss",1
"d1_t1_l1",46,0.077922,14,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",46,0.077922,14,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",46,0.077922,14,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",46,0.077922,14,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",47,0.101898,13,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",47,0.101898,13,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",47,0.101898,13,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",47,0.101898,13,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",48,0.048951,7,TRUE,2.4,"cospeciation",5
"d1_t1_l1",48,0.048951,7,TRUE,2.4,"transfer",12
"d1_t1_l1",48,0.048951,7,TRUE,2.4,"duplication",3
"d1_t1_l1",48,0.048951,7,TRUE,2.4,"loss",0
"d1_t1_l1",49,0.230769,15,FALSE,9,"cospeciation",2
"d1_t1_l1",49,0.230769,15,FALSE,9,"transfer",18
"d1_t1_l1",49,0.230769,15,FALSE,9,"duplication",0
"d1_t1_l1",49,0.230769,15,FALSE,9,"loss",0
"d1_t1_l1",50,0.020979,13,TRUE,3.75,"cospeciation",4
"d1_t1_l1",50,0.020979,13,TRUE,3.75,"transfer",15
"d1_t1_l1",50,0.020979,13,TRUE,3.75,"duplication",1
"d1_t1_l1",50,0.020979,13,TRUE,3.75,"loss",0
"d1_t8_l1",1,0.312687,32,FALSE,0.25,"cospeciation",8
"d1_t8_l1",1,0.312687,32,FALSE,0.25,"transfer",2
"d1_t8_l1",1,0.312687,32,FALSE,0.25,"duplication",10
"d1_t8_l1",1,0.312687,32,FALSE,0.25,"loss",48
"d1_t8_l1",2,0.06993,21,FALSE,0.125,"cospeciation",8
"d1_t8_l1",2,0.06993,21,FALSE,0.125,"transfer",1
"d1_t8_l1",2,0.06993,21,FALSE,0.125,"duplication",11
"d1_t8_l1",2,0.06993,21,FALSE,0.125,"loss",48
"d1_t8_l1",3,0.003996,10,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",3,0.003996,10,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",3,0.003996,10,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",3,0.003996,10,TRUE,0.111111111111111,"loss",42
"d1_t8_l1",4,0.007992,34,TRUE,0,"cospeciation",8
"d1_t8_l1",4,0.007992,34,TRUE,0,"transfer",0
"d1_t8_l1",4,0.007992,34,TRUE,0,"duplication",12
"d1_t8_l1",4,0.007992,34,TRUE,0,"loss",49
"d1_t8_l1",5,0.01998,16,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",5,0.01998,16,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",5,0.01998,16,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",5,0.01998,16,TRUE,0.111111111111111,"loss",44
"d1_t8_l1",6,0.056943,16,FALSE,0.222222222222222,"cospeciation",9
"d1_t8_l1",6,0.056943,16,FALSE,0.222222222222222,"transfer",2
"d1_t8_l1",6,0.056943,16,FALSE,0.222222222222222,"duplication",9
"d1_t8_l1",6,0.056943,16,FALSE,0.222222222222222,"loss",42
"d1_t8_l1",7,0.000999,26,TRUE,0,"cospeciation",9
"d1_t8_l1",7,0.000999,26,TRUE,0,"transfer",0
"d1_t8_l1",7,0.000999,26,TRUE,0,"duplication",11
"d1_t8_l1",7,0.000999,26,TRUE,0,"loss",41
"d1_t8_l1",8,0.282717,32,FALSE,0.25,"cospeciation",8
"d1_t8_l1",8,0.282717,32,FALSE,0.25,"transfer",2
"d1_t8_l1",8,0.282717,32,FALSE,0.25,"duplication",10
"d1_t8_l1",8,0.282717,32,FALSE,0.25,"loss",48
"d1_t8_l1",9,0.005994,38,TRUE,0,"cospeciation",8
"d1_t8_l1",9,0.005994,38,TRUE,0,"transfer",0
"d1_t8_l1",9,0.005994,38,TRUE,0,"duplication",12
"d1_t8_l1",9,0.005994,38,TRUE,0,"loss",46
"d1_t8_l1",10,0.000999,10,TRUE,0,"cospeciation",9
"d1_t8_l1",10,0.000999,10,TRUE,0,"transfer",0
"d1_t8_l1",10,0.000999,10,TRUE,0,"duplication",11
"d1_t8_l1",10,0.000999,10,TRUE,0,"loss",38
"d1_t8_l1",11,0.011988,10,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",11,0.011988,10,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",11,0.011988,10,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",11,0.011988,10,TRUE,0.111111111111111,"loss",42
"d1_t8_l1",12,0.02997,16,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",12,0.02997,16,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",12,0.02997,16,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",12,0.02997,16,TRUE,0.111111111111111,"loss",46
"d1_t8_l1",13,0.11988,19,FALSE,0.222222222222222,"cospeciation",9
"d1_t8_l1",13,0.11988,19,FALSE,0.222222222222222,"transfer",2
"d1_t8_l1",13,0.11988,19,FALSE,0.222222222222222,"duplication",9
"d1_t8_l1",13,0.11988,19,FALSE,0.222222222222222,"loss",46
"d1_t8_l1",14,0.006993,21,TRUE,0,"cospeciation",8
"d1_t8_l1",14,0.006993,21,TRUE,0,"transfer",0
"d1_t8_l1",14,0.006993,21,TRUE,0,"duplication",12
"d1_t8_l1",14,0.006993,21,TRUE,0,"loss",48
"d1_t8_l1",15,0.002997,10,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",15,0.002997,10,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",15,0.002997,10,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",15,0.002997,10,TRUE,0.111111111111111,"loss",38
"d1_t8_l1",16,0.017982,19,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",16,0.017982,19,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",16,0.017982,19,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",16,0.017982,19,TRUE,0.111111111111111,"loss",46
"d1_t8_l1",17,0.101898,20,FALSE,0.111111111111111,"cospeciation",9
"d1_t8_l1",17,0.101898,20,FALSE,0.111111111111111,"transfer",1
"d1_t8_l1",17,0.101898,20,FALSE,0.111111111111111,"duplication",10
"d1_t8_l1",17,0.101898,20,FALSE,0.111111111111111,"loss",49
"d1_t8_l1",18,0.027972,8,TRUE,0.2,"cospeciation",10
"d1_t8_l1",18,0.027972,8,TRUE,0.2,"transfer",2
"d1_t8_l1",18,0.027972,8,TRUE,0.2,"duplication",8
"d1_t8_l1",18,0.027972,8,TRUE,0.2,"loss",38
"d1_t8_l1",19,0.097902,31,FALSE,0.125,"cospeciation",8
"d1_t8_l1",19,0.097902,31,FALSE,0.125,"transfer",1
"d1_t8_l1",19,0.097902,31,FALSE,0.125,"duplication",11
"d1_t8_l1",19,0.097902,31,FALSE,0.125,"loss",49
"d1_t8_l1",20,0.004995,30,TRUE,0,"cospeciation",7
"d1_t8_l1",20,0.004995,30,TRUE,0,"transfer",0
"d1_t8_l1",20,0.004995,30,TRUE,0,"duplication",13
"d1_t8_l1",20,0.004995,30,TRUE,0,"loss",45
"d1_t8_l1",21,0.003996,20,TRUE,0,"cospeciation",9
"d1_t8_l1",21,0.003996,20,TRUE,0,"transfer",0
"d1_t8_l1",21,0.003996,20,TRUE,0,"duplication",11
"d1_t8_l1",21,0.003996,20,TRUE,0,"loss",49
"d1_t8_l1",22,0.074925,21,FALSE,0.125,"cospeciation",8
"d1_t8_l1",22,0.074925,21,FALSE,0.125,"transfer",1
