"cost_scheme","replicate","pvalue","cospeciation","transfer","duplication","loss","time_inconsistency","signif","ratio"
"d2_t1_l2",21,0.483516,2,17,1,0,16,FALSE,8.5
"d2_t1_l2",22,0.015984,4,16,0,0,12,TRUE,4
"d2_t1_l2",23,0.023976,5,15,0,0,7,TRUE,3
"d2_t1_l2",24,0.01998,4,16,0,0,11,TRUE,4
"d2_t1_l2",25,0.25974,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",26,0.2997,3,16,1,0,12,FALSE,5.33333333333333
"d2_t1_l2",27,0.040959,3,17,0,0,13,TRUE,5.66666666666667
"d2_t1_l2",28,0.450549,2,17,1,0,16,FALSE,8.5
"d2_t1_l2",29,0.391608,4,15,1,0,7,FALSE,3.75
"d2_t1_l2",30,0.280719,3,16,1,0,12,FALSE,5.33333333333333
"d2_t1_l2",31,0.285714,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",32,0.275724,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",33,0.335664,4,15,1,0,7,FALSE,3.75
"d2_t1_l2",34,0.302697,3,16,1,0,12,FALSE,5.33333333333333
"d2_t1_l2",35,0.155844,4,15,1,0,13,FALSE,3.75
"d2_t1_l2",36,0.088911,3,17,0,0,13,FALSE,5.66666666666667
"d2_t1_l2",37,0.585415,3,15,2,0,13,FALSE,5
"d2_t1_l2",38,0.082917,4,15,1,0,12,FALSE,3.75
"d2_t1_l2",39,0.230769,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",40,0.307692,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",41,0.170829,2,18,0,0,15,FALSE,9
"d2_t1_l2",42,0.398601,4,15,1,0,7,FALSE,3.75
"d2_t1_l2",43,0.355644,4,14,2,0,13,FALSE,3.5
"d2_t1_l2",44,0.509491,2,17,1,0,16,FALSE,8.5
"d2_t1_l2",45,0.081918,3,17,0,0,14,FALSE,5.66666666666667
"d2_t1_l2",46,0.223776,3,16,1,0,14,FALSE,5.33333333333333
"d2_t1_l2",47,0.233766,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",48,0.428571,5,13,2,0,7,FALSE,2.6
"d2_t1_l2",49,0.164835,2,18,0,0,15,FALSE,9
"d2_t1_l2",50,0.086913,4,15,1,0,13,FALSE,3.75
"d2_t4_l1",1,0.134865,8,10,2,13,2,FALSE,1.25
"d2_t4_l1",2,0.012987,7,10,3,6,4,TRUE,1.42857142857143
"d2_t4_l1",3,0.012987,7,9,4,8,3,TRUE,1.28571428571429
"d2_t4_l1",4,0.041958,6,10,4,7,4,TRUE,1.66666666666667
"d2_t4_l1",5,0.016983,6,9,5,6,4,TRUE,1.5
"d2_t4_l1",6,0.190809,8,9,3,16,2,FALSE,1.125
"d2_t4_l1",7,0.002997,7,8,5,8,3,TRUE,1.14285714285714
"d2_t4_l1",8,0.115884,8,10,2,13,2,FALSE,1.25
"d2_t4_l1",9,0.011988,7,9,4,8,3,TRUE,1.28571428571429
"d2_t4_l1",10,0.000999,7,7,6,8,3,TRUE,1
"d2_t4_l1",11,0.011988,7,9,4,8,3,TRUE,1.28571428571429
"d2_t4_l1",12,0.048951,6,10,4,7,4,TRUE,1.66666666666667
"d2_t4_l1",13,0.358641,8,10,2,16,2,FALSE,1.25
"d2_t4_l1",14,0.007992,8,8,4,12,3,TRUE,1
"d2_t4_l1",15,0.001998,7,8,5,8,3,TRUE,1.14285714285714
"d2_t4_l1",16,0.141858,8,9,3,16,2,FALSE,1.125
"d2_t4_l1",17,0.152847,6,11,3,7,4,FALSE,1.83333333333333
"d2_t4_l1",18,0.036963,8,9,3,12,2,TRUE,1.125
"d2_t4_l1",19,0.014985,9,9,2,12,2,TRUE,1
"d2_t4_l1",20,0.003996,7,7,6,10,3,TRUE,1
"d2_t4_l1",21,0.123876,8,9,3,15,2,FALSE,1.125
"d2_t4_l1",22,0.008991,7,10,3,6,4,TRUE,1.42857142857143
"d2_t4_l1",23,0.051948,7,10,3,8,3,FALSE,1.42857142857143
"d2_t4_l1",24,0.006993,7,8,5,9,3,TRUE,1.14285714285714
"d2_t4_l1",25,0.115884,7,9,4,13,3,FALSE,1.28571428571429
"d2_t4_l1",26,0.050949,7,8,5,13,2,FALSE,1.14285714285714
"d2_t4_l1",27,0.361638,8,10,2,16,2,FALSE,1.25
"d2_t4_l1",28,0.110889,8,10,2,13,2,FALSE,1.25
"d2_t4_l1",29,0.01998,8,7,5,14,4,TRUE,0.875
"d2_t4_l1",30,0.128871,7,9,4,13,2,FALSE,1.28571428571429
"d2_t4_l1",31,0.011988,8,7,5,15,6,TRUE,0.875
"d2_t4_l1",32,0.043956,7,8,5,13,3,TRUE,1.14285714285714
"d2_t4_l1",33,0.027972,9,8,3,15,2,TRUE,0.888888888888889
"d2_t4_l1",34,0.044955,6,8,6,10,3,TRUE,1.33333333333333
"d2_t4_l1",35,0.001998,10,6,4,16,3,TRUE,0.6
"d2_t4_l1",36,0.081918,9,8,3,18,5,FALSE,0.888888888888889
"d2_t4_l1",37,0.005994,7,8,5,10,3,TRUE,1.14285714285714
"d2_t4_l1",38,0.010989,7,10,3,6,4,TRUE,1.42857142857143
"d2_t4_l1",39,0.026973,7,9,4,10,3,TRUE,1.28571428571429
"d2_t4_l1",40,0.020979,9,7,4,18,5,TRUE,0.777777777777778
"d2_t4_l1",41,0.347652,8,9,3,18,5,FALSE,1.125
"d2_t4_l1",42,0.033966,9,7,4,17,3,TRUE,0.777777777777778
"d2_t4_l1",43,0.005994,9,6,5,17,3,TRUE,0.666666666666667
"d2_t4_l1",44,0.040959,8,9,3,12,2,TRUE,1.125
"d2_t4_l1",45,0.054945,9,9,2,15,2,FALSE,1
"d2_t4_l1",46,0.045954,7,9,4,10,3,TRUE,1.28571428571429
"d2_t4_l1",47,0.034965,7,9,4,10,3,TRUE,1.28571428571429
"d2_t4_l1",48,0.003996,7,8,5,8,3,TRUE,1.14285714285714
"d2_t4_l1",49,0.354645,8,9,3,18,5,FALSE,1.125
"d2_t4_l1",50,0.01998,8,8,4,13,4,TRUE,1
"d4_t1_l1",1,0.037962,3,17,0,0,13,TRUE,5.66666666666667
"d4_t1_l1",2,0.015984,5,15,0,1,11,TRUE,3
"d4_t1_l1",3,0.025974,5,15,0,0,10,TRUE,3
"d4_t1_l1",4,0.889111,3,15,2,0,14,FALSE,5
"d4_t1_l1",5,0.616384,4,15,1,0,11,FALSE,3.75
"d4_t1_l1",6,0.627373,4,15,1,0,7,FALSE,3.75
"d4_t1_l1",7,0.862138,4,14,2,0,12,FALSE,3.5
"d4_t1_l1",8,0.043956,3,17,0,0,13,TRUE,5.66666666666667
"d4_t1_l1",9,0.562438,5,14,1,0,7,FALSE,2.8
"d4_t1_l1",10,0.87013,4,14,2,0,12,FALSE,3.5
"d4_t1_l1",11,0.022977,5,15,0,0,10,TRUE,3
"d4_t1_l1",12,0.618382,3,16,1,0,14,FALSE,5.33333333333333
